X: 0.000000  Y: 300.000000 
X: 0.011350  Y: 320.031311 
X: 0.022699  Y: 299.839539 
X: 0.034049  Y: 299.968201 
X: 0.045398  Y: 300.282349 
X: 0.056748  Y: 299.822754 
X: 0.068097  Y: 299.974609 
X: 0.079447  Y: 300.235229 
X: 0.090797  Y: 299.001984 
X: 0.102146  Y: 298.238403 
X: 0.113496  Y: 300.401428 
X: 0.124845  Y: 300.518280 
X: 0.136195  Y: 300.822540 
X: 0.147545  Y: 301.659729 
X: 0.158894  Y: 300.289917 
X: 0.170244  Y: 300.477905 
X: 0.181593  Y: 305.043793 
X: 0.192943  Y: 309.076385 
X: 0.204292  Y: 298.093872 
X: 0.215642  Y: 302.681183 
X: 0.226992  Y: 295.638794 
X: 0.238341  Y: 306.283508 
X: 0.249691  Y: 299.531830 
X: 0.261040  Y: 299.195526 
X: 0.272390  Y: 290.301514 
X: 0.283739  Y: 315.086578 
X: 0.295089  Y: 298.606445 
X: 0.306439  Y: 298.075073 
X: 0.317788  Y: 297.970764 
X: 0.329138  Y: 295.146942 
X: 0.340487  Y: 300.924347 
X: 0.351837  Y: 298.368134 
X: 0.363187  Y: 284.507904 
X: 0.374536  Y: 271.932922 
X: 0.385886  Y: 302.361084 
X: 0.397235  Y: 299.405792 
X: 0.408585  Y: 304.145264 
X: 0.419934  Y: 299.510834 
X: 0.431284  Y: 300.801910 
X: 0.442634  Y: 300.025513 
X: 0.453983  Y: 314.893707 
X: 0.465333  Y: 299.948425 
X: 0.476682  Y: 300.689789 
X: 0.488032  Y: 300.431946 
X: 0.499381  Y: 301.353790 
X: 0.510731  Y: 300.739655 
X: 0.522081  Y: 297.687195 
X: 0.533430  Y: 299.149506 
X: 0.544780  Y: 307.466339 
X: 0.556129  Y: 285.130585 
X: 0.567479  Y: 300.982147 
X: 0.578829  Y: 303.022125 
X: 0.590178  Y: 302.135071 
X: 0.601528  Y: 306.257263 
X: 0.612877  Y: 300.745880 
X: 0.624227  Y: 300.799347 
X: 0.635576  Y: 301.672577 
X: 0.646926  Y: 312.711029 
X: 0.658276  Y: 302.167847 
X: 0.669625  Y: 302.357056 
X: 0.680975  Y: 305.598450 
X: 0.692324  Y: 305.092926 
X: 0.703674  Y: 300.860748 
X: 0.715023  Y: 299.836670 
X: 0.726373  Y: 285.271881 
X: 0.737723  Y: 342.826996 
X: 0.749072  Y: 298.819305 
X: 0.760422  Y: 301.819519 
X: 0.771771  Y: 297.665131 
X: 0.783121  Y: 303.745667 
X: 0.794470  Y: 300.024597 
X: 0.805820  Y: 299.844910 
X: 0.817170  Y: 294.761078 
X: 0.828519  Y: 307.694824 
X: 0.839869  Y: 300.527008 
X: 0.851218  Y: 300.005005 
X: 0.862568  Y: 301.337006 
X: 0.873918  Y: 300.203796 
X: 0.885267  Y: 300.213928 
X: 0.896617  Y: 300.027527 
X: 0.907966  Y: 283.453735 
X: 0.919316  Y: 325.120148 
X: 0.930665  Y: 302.416565 
X: 0.942015  Y: 298.706390 
X: 0.953365  Y: 304.882538 
X: 0.964714  Y: 297.474091 
X: 0.976064  Y: 300.541595 
X: 0.987413  Y: 298.647491 
X: 0.998763  Y: 314.920380 
X: 1.010113  Y: 293.048126 
X: 1.021462  Y: 301.450378 
X: 1.032812  Y: 298.465881 
X: 1.044161  Y: 303.011505 
X: 1.055511  Y: 297.321014 
X: 1.066860  Y: 297.784546 
X: 1.078210  Y: 300.700531 
X: 1.089560  Y: 282.380432 
X: 1.100909  Y: 306.210510 
X: 1.112259  Y: 299.212982 
X: 1.123608  Y: 297.769836 
X: 1.134958  Y: 298.558868 
X: 1.146307  Y: 295.554260 
X: 1.157657  Y: 300.031677 
X: 1.169007  Y: 301.032318 
X: 1.180356  Y: 300.673126 
X: 1.191706  Y: 291.907837 
X: 1.203055  Y: 298.568817 
X: 1.214405  Y: 301.734802 
X: 1.225754  Y: 297.023041 
X: 1.237104  Y: 303.350861 
X: 1.248454  Y: 298.304688 
X: 1.259803  Y: 299.544464 
X: 1.271153  Y: 283.765747 
X: 1.282502  Y: 277.705261 
X: 1.293852  Y: 300.593658 
X: 1.305202  Y: 301.801208 
X: 1.316551  Y: 301.091766 
X: 1.327901  Y: 303.573425 
X: 1.339250  Y: 301.042084 
X: 1.350600  Y: 300.007019 
X: 1.361949  Y: 303.851196 
X: 1.373299  Y: 307.209564 
X: 1.384649  Y: 301.950012 
X: 1.395998  Y: 300.993805 
X: 1.407348  Y: 303.711121 
X: 1.418697  Y: 302.443481 
X: 1.430047  Y: 299.331207 
X: 1.441396  Y: 300.035583 
X: 1.452746  Y: 493.024567 
X: 1.464096  Y: 340.202026 
X: 1.475445  Y: 297.579529 
X: 1.486795  Y: 297.180817 
X: 1.498144  Y: 295.328888 
X: 1.509494  Y: 295.072662 
X: 1.520844  Y: 300.226013 
X: 1.532193  Y: 299.561584 
X: 1.543543  Y: 290.845184 
X: 1.554892  Y: 287.806396 
X: 1.566242  Y: 298.988617 
X: 1.577591  Y: 298.754608 
X: 1.588941  Y: 297.720215 
X: 1.600291  Y: 297.219940 
X: 1.611640  Y: 300.043274 
X: 1.622990  Y: 300.386047 
X: 1.634339  Y: 275.263885 
X: 1.645689  Y: 274.130310 
X: 1.657038  Y: 301.999207 
X: 1.668388  Y: 302.615692 
X: 1.679738  Y: 303.964905 
X: 1.691087  Y: 305.594971 
X: 1.702437  Y: 300.710907 
X: 1.713786  Y: 299.958313 
X: 1.725136  Y: 310.601776 
X: 1.736485  Y: 312.361938 
X: 1.747835  Y: 300.891632 
X: 1.759185  Y: 300.891266 
X: 1.770534  Y: 302.123413 
X: 1.781884  Y: 301.928101 
X: 1.793233  Y: 298.855743 
X: 1.804583  Y: 299.461243 
X: 1.815933  Y: 264.011963 
X: 1.827282  Y: 259.041962 
X: 1.838632  Y: 298.283264 
X: 1.849981  Y: 297.726257 
X: 1.861331  Y: 296.820038 
X: 1.872680  Y: 295.445953 
X: 1.884030  Y: 300.380310 
X: 1.895380  Y: 299.298737 
X: 1.906729  Y: 294.364319 
X: 1.918079  Y: 291.009735 
X: 1.929428  Y: 300.034180 
X: 1.940778  Y: 299.683105 
X: 1.952127  Y: 300.080261 
X: 1.963477  Y: 299.390656 
X: 1.974827  Y: 299.425598 
X: 1.986176  Y: 300.132263 
X: 1.997526  Y: 285.453400 
X: 2.008875  Y: 274.718353 
X: 2.020225  Y: 299.602753 
X: 2.031574  Y: 299.741577 
X: 2.042924  Y: 298.882599 
X: 2.054274  Y: 299.686340 
X: 2.065623  Y: 299.969666 
X: 2.076973  Y: 301.233124 
X: 2.088322  Y: 297.879700 
X: 2.099672  Y: 300.052612 
X: 2.111022  Y: 300.351685 
X: 2.122371  Y: 301.179596 
X: 2.133721  Y: 300.568329 
X: 2.145070  Y: 302.290649 
X: 2.156420  Y: 300.245911 
X: 2.167769  Y: 299.435455 
X: 2.179119  Y: 199.028351 
X: 2.190469  Y: 185.263397 
X: 2.201818  Y: 294.035400 
X: 2.213168  Y: 299.302765 
X: 2.224517  Y: 287.773193 
X: 2.235867  Y: 298.496185 
X: 2.247216  Y: 299.962646 
X: 2.258566  Y: 300.244141 
X: 2.269916  Y: 272.401062 
X: 2.281265  Y: 295.872498 
X: 2.292615  Y: 299.857239 
X: 2.303964  Y: 301.300873 
X: 2.315314  Y: 299.597412 
X: 2.326663  Y: 302.664032 
X: 2.338013  Y: 301.627869 
X: 2.349363  Y: 300.343262 
X: 2.360712  Y: 244.542572 
X: 2.372062  Y: 303.965881 
X: 2.383411  Y: 302.969635 
X: 2.394761  Y: 300.613464 
X: 2.406111  Y: 306.233704 
X: 2.417460  Y: 301.010651 
X: 2.428810  Y: 300.703888 
X: 2.440159  Y: 299.068817 
X: 2.451509  Y: 313.879761 
X: 2.462858  Y: 302.309814 
X: 2.474208  Y: 301.584229 
X: 2.485558  Y: 297.950073 
X: 2.496907  Y: 303.049408 
X: 2.508257  Y: 295.910156 
X: 2.519606  Y: 299.288910 
X: 2.530956  Y: 300.062744 
X: 2.542305  Y: 201.656738 
X: 2.553655  Y: 276.304016 
X: 2.565005  Y: 299.987488 
X: 2.576354  Y: 300.890839 
X: 2.587704  Y: 299.632446 
X: 2.599053  Y: 301.787659 
X: 2.610403  Y: 299.805054 
X: 2.621753  Y: 301.118683 
X: 2.633102  Y: 301.069061 
X: 2.644452  Y: 302.424194 
X: 2.655801  Y: 299.947327 
X: 2.667151  Y: 301.336884 
X: 2.678500  Y: 299.800781 
X: 2.689850  Y: 302.535980 
X: 2.701200  Y: 299.467743 
X: 2.712549  Y: 300.504150 
X: 2.723899  Y: 295.239532 
X: 2.735248  Y: 304.499573 
X: 2.746598  Y: 300.519348 
X: 2.757947  Y: 300.354065 
X: 2.769297  Y: 301.592224 
X: 2.780647  Y: 300.164551 
X: 2.791996  Y: 299.915649 
X: 2.803346  Y: 300.090576 
X: 2.814695  Y: 302.391479 
X: 2.826045  Y: 301.897705 
X: 2.837394  Y: 301.059784 
X: 2.848744  Y: 300.563080 
X: 2.860094  Y: 301.793030 
X: 2.871443  Y: 301.615021 
X: 2.882793  Y: 299.812256 
X: 2.894142  Y: 300.010010 
X: 2.905492  Y: 116.163040 
X: 2.916842  Y: 524.922913 
X: 2.928191  Y: 298.319824 
X: 2.939541  Y: 304.030090 
X: 2.950890  Y: 296.645050 
X: 2.962240  Y: 308.495728 
X: 2.973589  Y: 299.857544 
X: 2.984939  Y: 300.261597 
X: 2.996289  Y: 288.639496 
X: 3.007638  Y: 316.754852 
X: 3.018988  Y: 300.272766 
X: 3.030337  Y: 300.125549 
X: 3.041687  Y: 300.756012 
X: 3.053037  Y: 300.493195 
X: 3.064386  Y: 301.939880 
X: 3.075736  Y: 299.685547 
X: 3.087085  Y: 283.725647 
X: 3.098435  Y: 321.197845 
X: 3.109784  Y: 298.821198 
X: 3.121134  Y: 300.170227 
X: 3.132484  Y: 297.836487 
X: 3.143833  Y: 300.109009 
X: 3.155183  Y: 300.648834 
X: 3.166532  Y: 300.573364 
X: 3.177882  Y: 294.952301 
X: 3.189232  Y: 301.696167 
X: 3.200581  Y: 300.345398 
X: 3.211931  Y: 302.399414 
X: 3.223280  Y: 300.547241 
X: 3.234630  Y: 304.502350 
X: 3.245979  Y: 300.270142 
X: 3.257329  Y: 299.502441 
X: 3.268679  Y: 268.755463 
X: 3.280028  Y: 358.957428 
X: 3.291378  Y: 295.877625 
X: 3.302727  Y: 300.289612 
X: 3.314077  Y: 292.184692 
X: 3.325427  Y: 300.823029 
X: 3.336776  Y: 299.858398 
X: 3.348126  Y: 300.299194 
X: 3.359475  Y: 284.233215 
X: 3.370825  Y: 301.377930 
X: 3.382174  Y: 299.123566 
X: 3.393524  Y: 299.910339 
X: 3.404874  Y: 298.215393 
X: 3.416223  Y: 299.783569 
X: 3.427573  Y: 299.691162 
X: 3.438922  Y: 300.008057 
X: 3.450272  Y: 260.993622 
X: 3.461621  Y: 301.992432 
X: 3.472971  Y: 301.039032 
X: 3.484321  Y: 300.736786 
X: 3.495670  Y: 301.908386 
X: 3.507020  Y: 301.361115 
X: 3.518369  Y: 301.148956 
X: 3.529719  Y: 299.422699 
X: 3.541069  Y: 304.679047 
X: 3.552418  Y: 303.820007 
X: 3.563768  Y: 300.934784 
X: 3.575117  Y: 300.394836 
X: 3.586467  Y: 301.536316 
X: 3.597816  Y: 301.039948 
X: 3.609166  Y: 299.615967 
X: 3.620516  Y: 299.626465 
X: 3.631865  Y: 286.346741 
X: 3.643215  Y: 418.384216 
X: 3.654564  Y: 300.132080 
X: 3.665914  Y: 296.759155 
X: 3.677263  Y: 299.821350 
X: 3.688613  Y: 293.982666 
X: 3.699963  Y: 299.224762 
X: 3.711312  Y: 299.854309 
X: 3.722662  Y: 296.978912 
X: 3.734011  Y: 286.128113 
X: 3.745361  Y: 299.166229 
X: 3.756711  Y: 300.299438 
X: 3.768060  Y: 298.411407 
X: 3.779410  Y: 300.757660 
X: 3.790759  Y: 301.375458 
X: 3.802109  Y: 300.524353 
X: 3.813458  Y: 310.715790 
X: 3.824808  Y: 282.158264 
X: 3.836158  Y: 299.443726 
X: 3.847507  Y: 299.732544 
X: 3.858857  Y: 299.123077 
X: 3.870206  Y: 299.704041 
X: 3.881556  Y: 298.853424 
X: 3.892905  Y: 299.656555 
X: 3.904255  Y: 298.750824 
X: 3.915605  Y: 300.455078 
X: 3.926954  Y: 298.253723 
X: 3.938304  Y: 298.307068 
X: 3.949653  Y: 296.585907 
X: 3.961003  Y: 296.478210 
X: 3.972353  Y: 299.609528 
X: 3.983702  Y: 299.676453 
X: 3.995052  Y: 342.077454 
X: 4.006401  Y: 224.606476 
X: 4.017751  Y: 298.053284 
X: 4.029100  Y: 300.720245 
X: 4.040450  Y: 296.626312 
X: 4.051799  Y: 301.198700 
X: 4.063149  Y: 298.886871 
X: 4.074499  Y: 300.775360 
X: 4.085848  Y: 287.019379 
X: 4.097198  Y: 303.780640 
X: 4.108547  Y: 300.735992 
X: 4.119897  Y: 300.164429 
X: 4.131247  Y: 301.586914 
X: 4.142596  Y: 300.846039 
X: 4.153945  Y: 302.097168 
X: 4.165295  Y: 299.815735 
X: 4.176645  Y: 298.420959 
X: 4.187994  Y: 314.664276 
X: 4.199344  Y: 294.941986 
X: 4.210693  Y: 302.621796 
X: 4.222043  Y: 289.225677 
X: 4.233393  Y: 305.640747 
X: 4.244742  Y: 299.131744 
X: 4.256092  Y: 299.530701 
X: 4.267441  Y: 278.317322 
X: 4.278791  Y: 310.352966 
X: 4.290141  Y: 297.150543 
X: 4.301490  Y: 298.170593 
X: 4.312840  Y: 294.019043 
X: 4.324189  Y: 295.997253 
X: 4.335539  Y: 300.843964 
X: 4.346889  Y: 300.095764 
X: 4.358238  Y: -26.154144 
